Types,Items,ingredient name,quantity,measure,food,weight,food category,image
Twinkie Tiramisu recipes,0,3 tablespoons instant espresso powder,3.0,tablespoon,espresso,44.99999999923919,coffee and tea,https://www.edamam.com/food-img/433/43301ebd4f7c5903aa6bac567a890ac3.jpg
Twinkie Tiramisu recipes,1,3/4 cup sugar,0.75,cup,sugar,150.0,sugars,https://www.edamam.com/food-img/ecb/ecb3f5aaed96d0188c21b8369be07765.jpg
Twinkie Tiramisu recipes,2,8 ounces whipped cream cheese,8.0,ounce,cream cheese,226.796185,Cheese,https://www.edamam.com/food-img/ddd/dddce306e7ee41e8e07dc62e28cab94b.jpg
Twinkie Tiramisu recipes,3,1 teaspoon vanilla extract,1.0,teaspoon,vanilla extract,4.2,Condiments and sauces,https://www.edamam.com/food-img/90f/90f910b0bf82750d4f6528263e014cca.jpg
Twinkie Tiramisu recipes,4,1 1/2 cups heavy cream,1.5,cup,heavy cream,357.0,Dairy,https://www.edamam.com/food-img/484/4848d71f6a14dd5076083f5e17925420.jpg
Twinkie Tiramisu recipes,5,"10 vanilla cream-filled snack cakes, such as Twinkies, halved lengthwise",10.0,<unit>,vanilla,50.0,Condiments and sauces,https://www.edamam.com/food-img/90f/90f910b0bf82750d4f6528263e014cca.jpg
Twinkie Tiramisu recipes,6,4 ounces finely chopped semisweet chocolate,4.0,ounce,semisweet chocolate,113.3980925,chocolate,https://www.edamam.com/food-img/0a1/0a1b6f30cb99e1842cac6167f6f424d7.jpg
Homemade Twinkies,0,2 cups all-purpose flour,2.0,cup,all-purpose flour,250.0,grains,https://www.edamam.com/food-img/368/368077bbcab62f862a8c766a56ea5dd1.jpg
Homemade Twinkies,1,3 teaspoons baking powder,3.0,teaspoon,baking powder,13.799999999999999,condiments and sauces,https://www.edamam.com/food-img/a84/a8410ec57a2e62a1ad9955ac14d40af6.jpg
Homemade Twinkies,2,1/4 teaspoon salt,0.25,teaspoon,salt,1.5,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Homemade Twinkies,3,"10 Tablespoons unsalted butter, softened",10.0,tablespoon,unsalted butter,142.0,Dairy,https://www.edamam.com/food-img/713/71397239b670d88c04faa8d05035cab4.jpg
Homemade Twinkies,4,1 cup sugar,1.0,cup,sugar,200.0,sugars,https://www.edamam.com/food-img/ecb/ecb3f5aaed96d0188c21b8369be07765.jpg
Homemade Twinkies,5,2 large eggs,2.0,<unit>,eggs,100.0,Eggs,https://www.edamam.com/food-img/a7e/a7ec7c337cb47c6550b3b118e357f077.jpg
Homemade Twinkies,6,1 teaspoon vanilla extract,1.0,teaspoon,vanilla extract,4.2,Condiments and sauces,https://www.edamam.com/food-img/90f/90f910b0bf82750d4f6528263e014cca.jpg
Homemade Twinkies,7,1/8 teaspoon almond extract (optional),0.125,teaspoon,almond extract,0.525,Condiments and sauces,https://www.edamam.com/food-img/90f/90f910b0bf82750d4f6528263e014cca.jpg
Homemade Twinkies,8,1 cup milk,1.0,cup,milk,244.0,Milk,https://www.edamam.com/food-img/7c9/7c9962acf83654a8d98ea6a2ade93735.jpg
Homemade Twinkies,9,2 teaspoons very hot water,2.0,teaspoon,water,9.857843188,water,https://www.edamam.com/food-img/5dd/5dd9d1361847b2ca53c4b19a8f92627e.jpg
Homemade Twinkies,10,2 cups marshmallow cream (one 7-ounce jar),1.0,jar,marshmallow cream,198.44666187500002,sugars,https://www.edamam.com/food-img/94f/94f3df4c162134ff42f2b565a9fcc531.jpg
Homemade Twinkies,11,1/2 cup shortening,0.5,cup,shortening,102.5,Oils,
Homemade Twinkies,12,1/3 cup powdered sugar,0.3333333333333333,cup,powdered sugar,40.0,sugars,https://www.edamam.com/food-img/290/290624aa4c0e279551e462443e38bb40.jpg
Homemade Twinkies,13,1/2 teaspoon vanilla extract,0.5,teaspoon,vanilla extract,2.1,Condiments and sauces,https://www.edamam.com/food-img/90f/90f910b0bf82750d4f6528263e014cca.jpg
Twinkie Bundt recipes,0,"1 cup (225 grams) unsalted butter, at room temperature",225.0,gram,unsalted butter,225.0,Dairy,https://www.edamam.com/food-img/713/71397239b670d88c04faa8d05035cab4.jpg
Twinkie Bundt recipes,1,1 3/4 cups (350 grams) granulated sugar,350.0,gram,granulated sugar,350.0,sugars,https://www.edamam.com/food-img/ecb/ecb3f5aaed96d0188c21b8369be07765.jpg
Twinkie Bundt recipes,2,2 large eggs,2.0,<unit>,eggs,100.0,Eggs,https://www.edamam.com/food-img/a7e/a7ec7c337cb47c6550b3b118e357f077.jpg
Twinkie Bundt recipes,3,"2 large yolks (save the 2 whites for filling, below)",0.0,,save,0.0,condiments and sauces,
Twinkie Bundt recipes,4,1 teaspoon (5 ml) vanilla extract,5.0,milliliter,vanilla extract,4.395822951239589,Condiments and sauces,https://www.edamam.com/food-img/90f/90f910b0bf82750d4f6528263e014cca.jpg
Twinkie Bundt recipes,5,2 teaspoons baking powder,2.0,teaspoon,baking powder,9.2,condiments and sauces,https://www.edamam.com/food-img/a84/a8410ec57a2e62a1ad9955ac14d40af6.jpg
Twinkie Bundt recipes,6,1 teaspoon fine sea salt or table salt,1.0,teaspoon,fine sea salt,6.0,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Twinkie Bundt recipes,7,2 1/2 cups (315 grams) all-purpose flour,315.0,gram,all-purpose flour,315.0,grains,https://www.edamam.com/food-img/368/368077bbcab62f862a8c766a56ea5dd1.jpg
Twinkie Bundt recipes,8,1 cup (235 ml) buttermilk,235.0,milliliter,buttermilk,243.35529463232632,Milk,https://www.edamam.com/food-img/768/768bea3c8421a7ae987bc00c4a2b82e8.jpg
Twinkie Bundt recipes,9,2 large egg whites,2.0,<unit>,egg whites,66.0,Eggs,https://www.edamam.com/food-img/b30/b304a020501418f9a63cf7f9359bc99d.jpg
