,ENERGY (kcal),PROTEIN (g),FAT (g),CARBS (g),FIBER (g)
Pizza,268.0,10.36,12.28,29.02,2.2
"Coffe, Large",0.85,0.17,0.0,0.0,0.0
"Coffe, Medium",1.06,0.21,0.0,0.0,0.0
Sausage Pizza,280.0,11.5,12.35,30.62,2.3
Pepperoni Pizza,282.0,11.74,11.91,31.98,2.3
Stuffed Cheeze Pizza,274.0,12.23,11.63,30.0,1.7
Veggy Cheese Pizza,244.0,11.02,10.9,25.38,2.2
Nestle Coffee Mate Coffe Creamer Hazelnut,236.7,0.0,6.76,33.81,Unknown
Nestle Coffee Mate Coffe Creamer Hazelnut,236.7,0.0,6.76,33.81,Unknown
Thick Crust Sausage Pizza,282.0,11.06,12.94,30.36,2.3
Thin Crust Cheese Pizza,302.0,12.85,13.95,31.2,2.5
Thick Crust Cheese Pizza,271.0,10.81,10.54,33.17,2.2
Thick Crust Pepperoni Pizza,287.0,11.49,12.58,31.84,2.2
Thin Crust Pepperoni Pizza,331.0,14.01,17.61,29.0,2.3
Thin Crust Sausage Pizza,321.0,13.36,17.71,27.0,2.5
"Nestle Coffe Mate, Natural Bliss All Natural Coffee Creamer Chocolate",135.26,0.0,6.76,20.29,Unknown
Pizza Hut Pan Pizza,377.75,5.94,22.77,37.34,1.59
Pizza,261.0,6.34,11.27,32.39,1.4
Pizza,215.03,10.12,10.74,19.02,1.2
Pizza,207.07,9.09,5.05,31.82,2.02
