Types,Items,ingredient name,quantity,measure,food,weight,food category,image
Zuni-Inspired Grilled Chicken Salad,0,"1 pound boneless, skinless chicken breasts",1.0,pound,"boneless, skinless chicken breasts",453.59237,Poultry,https://www.edamam.com/food-img/da5/da510379d3650787338ca16fb69f4c94.jpg
Zuni-Inspired Grilled Chicken Salad,1,"3/4 teaspoon kosher salt, divided, plus more for salad",0.75,teaspoon,kosher salt,3.6406250001846567,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Zuni-Inspired Grilled Chicken Salad,2,"1 tablespoon olive oil, plus more for salad",1.0,tablespoon,olive oil,13.5,Oils,https://www.edamam.com/food-img/4d6/4d651eaa8a353647746290c7a9b29d84.jpg
Zuni-Inspired Grilled Chicken Salad,3,"1/4 cup aioli or 1/4 cup mayo + 1 small garlic clove, grated",0.25,cup,aioli,57.75,condiments and sauces,https://www.edamam.com/food-img/577/577308a0422357885c94cc9b5f1f1862.jpg
Zuni-Inspired Grilled Chicken Salad,4,"Zest and juice of 1 lemon, plus more for salad",1.0,<unit>,lemon,58.0,fruit,https://www.edamam.com/food-img/70a/70acba3d4c734d7c70ef4efeed85dc8f.jpg
Zuni-Inspired Grilled Chicken Salad,5,"Your favorite greens and fresh herbs, for salad",0.0,,fresh herbs,5.864829950001847,vegetables,https://www.edamam.com/food-img/46a/46a132e96626d7989b4d6ed8c91f4da0.jpg
Steak & Chips Salad,0,750.0g bag frozen potato wedges,750.0,gram,potato,750.0,vegetables,https://www.edamam.com/food-img/651/6512e82417bce15c2899630c1a2799df.jpg
Steak & Chips Salad,1,1.0 tbsp olive oil,1.0,tablespoon,olive oil,13.5,Oils,https://www.edamam.com/food-img/4d6/4d651eaa8a353647746290c7a9b29d84.jpg
Steak & Chips Salad,2,"2 pieces sirloin steak , about 350g/12oz in total",2.0,<unit>,sirloin steak,680.0,meats,https://www.edamam.com/food-img/4f1/4f10105d5c8178f25590ca6dfcd37fca.jpg
Steak & Chips Salad,3,120.0g bag herb salad,120.0,gram,herb,120.0,Condiments and sauces,https://www.edamam.com/food-img/89b/89b37a04e46e052671d73addcb84aa51.jpg
Steak & Chips Salad,4,"6.0 tbsp honey and mustard salad dessing , bought or homemade",6.0,tablespoon,honey,126.0,,https://www.edamam.com/food-img/198/198c7b25c23b4235b4cc33818c7b335f.jpg
Steak & Chips Salad,5,"6.0 tbsp honey and mustard salad dessing , bought or homemade",6.0,tablespoon,mustard,93.3749999984214,Condiments and sauces,https://www.edamam.com/food-img/e23/e238f2e4cfa6aa1a30f46dc73e7344eb.jpg
Shrimp Salad,0,"1 pound medium-sized shrimp, cooked, shelled and de-veined",1.0,pound,shrimp,453.59237,seafood,https://www.edamam.com/food-img/ebe/ebe2888b894f48d19762e1d606db0206.jpg
Shrimp Salad,1,1 tablespoon minced onion,1.0,tablespoon,onion,10.0,vegetables,https://www.edamam.com/food-img/205/205e6bf2399b85d34741892ef91cc603.jpg
Shrimp Salad,2,1 tablespoon minced parsley,1.0,tablespoon,parsley,3.8,vegetables,https://www.edamam.com/food-img/46a/46a132e96626d7989b4d6ed8c91f4da0.jpg
Shrimp Salad,3,Salt and pepper to taste,0.0,,Salt,3.714854219998453,Condiments and sauces,https://www.edamam.com/food-img/694/6943ea510918c6025795e8dc6e6eaaeb.jpg
Shrimp Salad,4,Salt and pepper to taste,0.0,,pepper,1.8574271099992266,Condiments and sauces,https://www.edamam.com/food-img/c6e/c6e5c3bd8d3bc15175d9766971a4d1b2.jpg
Shrimp Salad,5,1 tablespoon lemon juice,1.0,tablespoon,lemon juice,15.2499999997422,100% juice,https://www.edamam.com/food-img/e31/e310952d214e78a4cb8b73f30ceeaaf2.jpg
Shrimp Salad,6,½ cup mayonnaise,0.5,cup,mayonnaise,115.5,condiments and sauces,https://www.edamam.com/food-img/577/577308a0422357885c94cc9b5f1f1862.jpg
Shrimp Salad,7,1½ tablespoons salad oil,1.5,tablespoon,oil,21.0,Oils,https://www.edamam.com/food-img/07e/07e106ab3536d57428e5c46d009038f8.jpg
Strawberry Hazelnut Salad,0,8 oz salad greens,8.0,ounce,salad greens,226.796185,vegetables,https://www.edamam.com/food-img/b6d/b6d9f3052d27a3c71220cfa55c6f0a42.jpg
Strawberry Hazelnut Salad,1,8 oz strawberries,8.0,ounce,strawberries,226.796185,fruit,https://www.edamam.com/food-img/00c/00c8851e401bf7975be7f73499b4b573.jpg
Strawberry Hazelnut Salad,2,2 oz Hazelnuts,2.0,ounce,Hazelnuts,56.69904625,plant-based protein,https://www.edamam.com/food-img/136/13615074edcc12bf37a30987ebfec6dc.jpg
Strawberry Hazelnut Salad,3,3 oz Balsamic Vinegar,3.0,ounce,Balsamic Vinegar,85.048569375,Condiments and sauces,https://www.edamam.com/food-img/90a/90a1f211768e166ecfff19e8b4747498.jpg
Strawberry Hazelnut Salad,4,1 tsp Sugar,1.0,teaspoon,Sugar,4.2,sugars,https://www.edamam.com/food-img/ecb/ecb3f5aaed96d0188c21b8369be07765.jpg
Strawberry Hazelnut Salad,5,4 oz Extra Virgin Olive Oil,4.0,ounce,Extra Virgin Olive Oil,113.3980925,Oils,https://www.edamam.com/food-img/4d6/4d651eaa8a353647746290c7a9b29d84.jpg
Strawberry Hazelnut Salad,6,4 x salt and pepper,4.0,<unit>,pepper,465.15555555555557,vegetables,https://www.edamam.com/food-img/629/629dc9fddc1f8aec27fa337dd6ce2b7c.jpg
Grilled Tofu Salad With Miso Dressing,0,14 ounces extra firm tofu,14.0,ounce,firm tofu,396.89332375000004,plant-based protein,https://www.edamam.com/food-img/c44/c44799e4beb77540acad305ac9f9ef7e.jpg
Grilled Tofu Salad With Miso Dressing,1,2 teaspoons cooking oil,2.0,teaspoon,cooking oil,9.0,Oils,https://www.edamam.com/food-img/07e/07e106ab3536d57428e5c46d009038f8.jpg
