,ENERGY (kcal),PROTEIN (g),FAT (g),CARBS (g),FIBER (g)
Salad Lovers Salad,91.0,6.82,0.0,13.65,9.1
Salads Tuna Salad,246.48,10.56,9.86,30.28,2.11
Hawaiian Salad,184.32,4.46,14.63,9.99,0.67
"Salad Extra, Tuna Salad",114.64,22.05,2.65,0.0,0.0
"Salad Bar, Caponata Salad",59.17,1.69,4.23,6.76,1.69
"Salad Bar, Cucumber Salad",135.26,0.0,11.83,5.07,0.0
"Salad Bar, Macaroni Salad",185.98,3.38,13.53,11.83,1.69
"Salad Bar, Panzenella Salad",219.79,3.38,13.53,20.29,1.69
"Pasta Salad, Salad Bar",185.84,4.42,7.08,25.66,1.77
"Salad Bar, Broccoli Salad",56.36,1.41,3.52,5.64,1.41
"Salad Bar, Caesar Salad",42.27,1.41,3.52,2.82,0.0
"Salad Bar, Potato Salad",169.07,2.82,12.68,9.86,1.41
"Salad Bar, Salad Oil",811.54,0.0,94.68,0.0,0.0
"Salad Bar, Salad Mix",4.23,0.42,0.0,0.42,0.42
"Salad Bar, Chicken Salad",352.74,14.11,31.75,3.53,0.0
"Salad Bar, Pasta Salad",211.64,3.53,10.58,24.69,3.53
"Salad Bar, Tuna Salad",211.64,0.0,21.16,3.53,0.0
"Salad Bar, Watergate Salad",176.37,0.0,5.29,31.75,0.0
Salad Lovers Salad With Guacamole,91.0,3.25,5.2,7.8,3.9
Salad Lovers Salad With Mushrooms,91.0,7.28,0.0,12.74,7.28
